Title Description Content Source URL PublishedAt
|ChatGPT's search market share jumped recently, while Google has slipped, new data shows| |A survey showed an uptick in people preferring ChatGPT vs Google, and where it's winning over users, from learning a new skill to writing and coding.| |Mike Coppola/NurPhoto/Getty
<ul><li>Google's search share slipped from June to November, new survey finds.</li><li>ChatGPT gained market share over the period, potentially challenging Google's domin… [+3629 chars]| |Business Insider| https://www.businessinsider.com/chatgpt-search-market-share-google-openai-2024-12 2024-12-06T18:52:33Z
|Google DeepMind says its new AI weather prediction tool outperforms top forecasters| |Google DeepMind said its  new AI weather prediction tool, which is called GenCast, outperformed existing forecasting systems in trials.| |Google DeepMind said GenCast, its new weather forecaster, can make better predictions.NASA/Getty Images
<ul><li>Google DeepMind unveiled GenCast, its AI tool for weather forecasts.</li><li>GenCast o… [+1857 chars]| |Business Insider| https://www.businessinsider.com/deepmind-google-ai-weather-forecast-tool-gencast-2024-12 2024-12-04T21:39:31Z
|Google CEO Sundar Pichai says AI progress will get harder in 2025 because 'the low-hanging fruit is gone'| |Google CEO Sundar Pichai says that he doesn't believe there is an AI "wall" but says new breakthroughs are needed.| |Sundar Pichai said the "hill is steeper" for AI progress. Justin Sullivan/Getty
<ul><li>Google CEO Sundar Pichai says AI progress will be more challenging in 2025.</li><li>Pichai said he doesn't buy… [+2646 chars]| |Business Insider| https://www.businessinsider.com/google-ceo-sundar-pichai-ai-wall-progress-harder-2024-12 2024-12-05T12:52:08Z
|I worked my way up to a $500k AI job at Google without a Ph.D. Here are 2 methods I've used to stay competitive in my industry.| |Pushkar Singh started working for Google straight out of college in Bengaluru, India. Now, he's a senior engineer living in California.| |Singh said being part of a research paper reading group has helped him stay up-to-date in his industry.Jayati Singh
<ul><li>Pushkar Singh is an L6 engineer at Google. He's been in the ads AI space s… [+6160 chars]| |Business Insider| https://www.businessinsider.com/google-staff-engineer-ai-job-l6-promotion-2024-12 2024-12-05T11:36:07Z
|Spotify Wrapped is always a mess for parents. The new AI 'podcast' version just makes it worse.| |Spotify is using Google AI technology to make a "podcast" about your listening habits. It's fascinating technology, but it also weirds me out.| |Spotify Wrapped uses Google's AI to make a podcast about your favorite songs.Spotify
<ul><li>Spotify's year-end feature has something new: an AI-generated "podcast" about your Wrapped.</li><li>It us… [+3494 chars]| |Business Insider| https://www.businessinsider.com/spotify-wrapped-ai-podcast-weird-reviewed-2024-12 2024-12-04T22:29:12Z
|This year's Spotify Wrapped lets you listen to AI hosts break down your music tastes, thanks to Google| |Spotify's new Wrapped AI podcast, powered by Google's NotebookLM, gives users a personalized discussion about their listening trends from the year.| |Spotify launched a Wrapped AI podcast on Wednesday powered by NotebookLM.Spotify/Google
<ul><li>Google and Spotify launched a Wrapped AI Podcast with NotebookLM's AI hosts.</li><li>The podcast talks… [+3681 chars]| |Business Insider| https://www.businessinsider.com/google-customizable-ai-notebooklm-spotify-wrapped-collaboration-2024-12 2024-12-04T13:00:02Z
|The Silicon Valley titans seeking Donald Trump's ear as his second term approaches| |Silicon Valley leaders like Mark Zuckerberg and Sundar Pichai are seeking Trump's ear, with AI regulation and antitrust suits potentially at stake.| |Donald Trump campaigns in North CarolinaAP/Nell Redmond
<ul><li>With his presidency approaching, tech leaders are seeking Donald Trump's good graces.</li><li>Mark Zuckerberg dined with him at Mar-a-… [+4438 chars]| |Business Insider| https://www.businessinsider.com/tech-ceos-donald-trump-elon-musk-mark-zuckerberg-sam-altman-2024-12 2024-12-04T22:37:00Z
|Jeff Bezos says he's 'putting a lot of time' in at Amazon to help it become an AI winner| |Speaking at The New York Times's DealBook conference on Wednesday, the billionaire said he hasn't fully left the company he founded 30 years ago.| |Jeff Bezos stepped down as CEO of Amazon three years ago to focus on Blue Origin, his rocket company.Getty Images
<ul><li>Jeff Bezos said he's "putting a lot of time" into Amazon despite stepping do… [+2839 chars]| |Business Insider| https://www.businessinsider.com/jeff-bezos-amazon-ai-efforts-blue-origin-2024-12 2024-12-05T11:35:20Z
|Meta starts the search for nuclear partners to power energy-hungry AI| |Meta said it's targeting 1 to 4 gigawatts of new nuclear generation capacity to be delivered starting in the early 2030s.| |Meta is looking for nuclear energy developers to power its AI ambitions.Fabrice COFFRINI/AFP/Getty Images
<ul><li>Meta is seeking nuclear energy developers to power its AI and sustainability goals.<… [+2087 chars]| |Business Insider| https://www.businessinsider.com/meta-nuclear-energy-partners-power-ai-data-centers-2024-12 2024-12-04T12:04:43Z
|Silicon and supercomputers will define the next AI era. AWS just made a big bet on both.| |AWS unveiled a new line of its own AI chips and plans for a supercomputer at its Re: Invent conference, signalling a shift away from Nvidia.| |Amazon is betting on its own chips and supercomputers to forge ahead with its AI ambitions.Noah Berger/Getty Images for Amazon Web Services
<ul><li>AWS unveiled a new AI chip and a supercomputer at … [+5048 chars]| |Business Insider| https://www.businessinsider.com/aws-chips-supercomputer-ai-reinvent-big-tech-2024-12 2024-12-04T15:07:12Z
|Marc Benioff says humans are already working alongside AI agents| |Salesforce CEO Marc Benioff said the future is digital labor, where humans work alongside AI agents as well as robots.| |Salesforce CEO Marc Benioff has repeatedly criticized Microsoft Copilot.Arturo Holmes/Getty Images
<ul><li>Salesforce's stock rose 10% after hours Tuesday after beating third-quarter revenue expecta… [+2358 chars]| |Business Insider| https://www.businessinsider.com/marc-benioff-humans-work-ai-agents-robots-salesforce-2024-12 2024-12-05T00:24:45Z
|Oracle stock is set for its best year since the dot-com boom after a 75% surge| |Oracle shares have roughly tripled from their late-2022 low, making the cloud-computing specialist more valuable than Costco or Netflix.| |Oracle cofounder Larry Ellison.Justin Sullivan/Getty Images
<ul><li>Oracle shares are set for their best year since 1999 after a 75% surge.</li><li>The enterprise-computing stock has benefited from … [+2310 chars]| |Business Insider| https://www.businessinsider.com/oracle-stock-price-ai-tech-larry-ellison-cloud-nvidia-musk-2024-12 2024-12-02T13:13:05Z
|Intel says its 'no wafer left behind' days are over| |Now, Intel needs to focus on efficiency, the company's chief global operations officer said on Wednesday.| |Intel says it needs to be thriftier and approach production with a zero-waste model.
Days after CEO Pat Gelsinger's sudden departure, Intel executives said the company must prioritize efficiency.
"… [+2721 chars]| |Business Insider| https://www.businessinsider.com/intel-efficiency-push-no-wafer-left-behind-chandrasekaran-capital-expenditures-2024-12 2024-12-05T05:33:24Z
|Amazon says developers spend a surprisingly small amount of time per day coding| |AWS is rolling out AI to help developers spend more time coding than they do on "tedious" tasks. Some programmers aren't sure it's a good thing.| |Amazon Web Services CEO Matt Garman told developers that Amazon Q Developer is meant to boost productivity.JOSH EDELSON/AFP
<ul><li>AWS said developers spend most of their time on non-coding tasks, … [+3010 chars]| |Business Insider| https://www.businessinsider.com/amazon-developers-spend-only-one-hour-coding-daily-aws-ai-2024-12 2024-12-05T09:16:02Z
|Bill Gates' top 5 books of the year include a Roger Federer biography and a book by the head of Microsoft AI| |Microsoft cofounder Bill Gates' favorite books of the year include an autobiography and a book by Mustafa Suleyman, the head of Microsoft AI.| |Bill Gates has released his annual list of his top book recommendations of the year.Jordan Strauss/AP
<ul><li>On Tuesday, Bill Gates published his annual list of his favorite books of the year.</li>… [+2989 chars]| |Business Insider| https://www.businessinsider.com/bill-gates-books-list-recommendations-ai-roger-federer-2024-12 2024-12-04T17:15:29Z
|Jaguar's rebranding rollout was controversial — and brilliant, some advertising veterans now say. Others aren't so sure.| |Jaguar's rebrand, culminating in a concept car this week, got rave reviews from some ad industry vets. But its true success will take time to measure.| |Jaguar's concept car came after a controversial reveal of the brand's new image.Jaguar
<ul><li>Jaguar's rebrand has been controversial — but its rollout might also be a genius move.</li><li>Advertis… [+5805 chars]| |Business Insider| https://www.businessinsider.com/jaguar-strategy-new-model-rebranding-reviewed-2024-12 2024-12-05T00:21:16Z
|KPMG's AI chief explains how to make AI work for your business| |BI spoke to KPMG's global head of AI, David Rowlands, about what the current challenges are for businesses as they try to implement AI.| |KPMG has invested heavily and partnered with Microsoft as it implements its AI strategy.Liam McBurney/PA Images via Getty Images
<ul><li>KPMG's head of AI, David Rowlands, is helping the firm transf… [+4956 chars]| |Business Insider| https://www.businessinsider.com/kpmg-ai-boss-david-rowlands-artificial-intelligence-strategy-big-four-2024-11 2024-12-05T12:35:28Z
|Jaguar's rebrand has been criticized as 'woke.' Marketing experts say it's either 'bonkers' — or a genius disruption.| |Jaguar's rebranding marks a radical identity shift for the carmaker. One ad expert called it "bonkers." Others said it was a successful disruption.| |Jaguar's new video ad has baffled some people online.Jaguar
<ul><li>Branding experts have mixed reviews on Jaguar's new identity but agree it's a radical change.</li><li>Jaguar's rebranding campaign… [+6385 chars]| |Business Insider| https://www.businessinsider.com/jaguar-rebrand-successful-controversy-marketing-advertising-woke-2024-12 2024-12-02T09:47:02Z
|Critics said Musk 'overpaid' for Twitter. Thanks to Trump and xAI, it could actually be a steal.| |The billionaire was panned for overspending on Twitter, but the platform is winning him favor with Donald Trump and supporting his AI ambitions.| |Elon Musk acquired Twitter at $44 billion, but investors have been writing down its paper value.Samuel Corum/Getty Images
<ul><li>Elon Musk's $44 billion Twitter buyout was seen by many as overprice… [+7220 chars]| |Business Insider| https://www.businessinsider.com/elon-musk-twitter-value-x-trump-xai-2024-11 2024-12-02T09:00:01Z
|Photos show the impact of climate change on national parks| |Photos show climate change impacting national parks from Yellowstone's flooding to warming temperatures in Denali. Wildfires are also causing damage.| |Climate change threatens many beloved US national parks, including Yellowstone.Ellen Pabst dos Reis/Getty Images
<ul><li>Climate change poses a threat to US national parks like Yellowstone.</li><li>… [+9582 chars]| |Business Insider| https://www.businessinsider.com/photos-climate-change-national-parks 2024-12-03T11:51:01Z
|Meet 45 rising stars of the venture capital industry who stood out in 2024| |Meet the top emerging venture capitalists of 2024, spotlighting key VCs from diverse backgrounds and sectors, including AI, healthcare, and fintech.| |From left to right: Jon Chu, Caroline Fiegel, Deedy Das, and Iris Sun.Khosla Ventures; Salesforce Ventures; Menlo Ventures; 500 Global; Business Insider
<ul><li>We asked our readers and top VCs to n… [+42062 chars]| |Business Insider| https://www.businessinsider.com/rising-stars-of-the-venture-capital-industry-2024-12 2024-12-04T10:00:02Z
|Elon Musk's xAI is expanding its Memphis supercomputer to house at least 1 million GPUs| |xAI's planned expansion aims to boost AI development and outpace rivals like OpenAI and Google.| |Elon Musk's xAI is ramping up its Memphis supercomputer to house at least 1 million graphic processing units, the Greater Memphis Chamber said on Wednesday.
The supercomputer, called Colossus, is al… [+2018 chars]| |Business Insider| https://www.businessinsider.com/xai-memphis-supercomputer-gpus-2024-12 2024-12-05T11:00:46Z
|The best Cyber Monday Apple deals: All-time low prices on MacBooks, iPads, and AirPods| |Cyber Monday is the last time you can save big on Apple products this year. The best Cyber Monday Apple deals include AirPods, iPads, and more.| |When you buy through our links, Business Insider may earn an affiliate commission. Learn more
Cyber Mondays of yore used to focus mostly on tech devices, and while the sale has largely expanded to i… [+16988 chars]| |Business Insider| https://www.businessinsider.com/guides/deals/best-cyber-monday-apple-deals-2024-12 2024-12-02T12:59:12Z
|Best Cyber Monday iPhone deals: Last chance to get an iPhone 16, iPad, and Apple Watch all for free| |The best Cyber Monday iPhone deals still available include a limited-time Verizon bundle featuring an iPhone 16, Apple Watch, and iPad for free.| |When you buy through our links, Business Insider may earn an affiliate commission. Learn more
The sun is starting to set on Cyber Monday, and our experts are still tracking savings on countless prod… [+8375 chars]| |Business Insider| https://www.businessinsider.com/guides/deals/cyber-monday-iphone-deals-2024-12 2024-12-02T21:27:09Z
|Best Cyber Monday Apple Watch deals: Up to 40% off the latest models| |The best Cyber Monday Apple Watch deals include excellent savings on Apple's Series 10, Ultra 2, and SE smartwatches.| |When you buy through our links, Business Insider may earn an affiliate commission. Learn more
Cyber Monday is going strong and the sale is packed with savings on Apple products, including the brand'… [+6385 chars]| |Business Insider| https://www.businessinsider.com/guides/deals/best-cyber-monday-apple-watch-deals-2024-12 2024-12-02T16:14:54Z
|We took our kids to fancy resorts in Bali, but we were all happier once we moved to a cheaper accommodation with less frills| |My family had the best time at a cheaper hotel in Ubud, even though we enjoyed the luxurious Bali Mandira and Holiday Inn resorts on our trip to Bali.| |In 2022, my entire extended family decided to head to Bali for Christmas. The group of 18 of us consisted of five different families from across the globe.
Choosing the right accommodation for such … [+3777 chars]| |Business Insider| https://www.businessinsider.com/family-preferred-small-cheaper-hotel-over-luxury-resorts-bali-2024-12 2024-12-03T15:19:44Z
|I worked in Big Tech for years and now help others get jobs. Don't follow these 4 career advice clichés.| |Alan Stein worked in the corporate world for 25 years at companies including Google. Here's why he advises against some popular career advice.| |This as-told-to essay is based on a conversation with Alan Stein, CEO of career-accelerating service Kadima Careers. The story has been edited for length and clarity.
After 25 years of working in th… [+3965 chars]| |Business Insider| https://www.businessinsider.com/big-tech-career-service-ceo-job-interview-advice-avoid-cliches-2024-12 2024-12-03T09:51:02Z
|A chart master forecasts bitcoin's coming price corrections, how much it can pull back, and how high it can rally| |Bitcoin is following its historical four-year cycle. Here's what could happen next.| |The perfect storm has converged, leading to a rally for bitcoin and the broader crypto market. And while no one can be sure how this rally will play out, many look to bitcoin's historical behavior to… [+3664 chars]| |Business Insider| https://www.businessinsider.com/bitcoin-price-target-and-corrections-for-this-bull-run-cmt-2024-12 2024-12-05T19:54:16Z
|Holiday shopping has more Americans getting comfortable with buy-now-pay-later| |The CEO of buy-now-pay-later firm Splitit told BI that his company's order volumes were up 62% in the week ending with Cyber Monday.| |While Cyber Monday was the biggest e-commerce shopping day ever
, the sales event (and the month leading up to it) marked a big test for the popularity of buy-now-pay-later (BNPL) services.
Nandan … [+5597 chars]| |Business Insider| https://www.businessinsider.com/holiday-shoppers-buy-now-pay-later-growth-splitit-ceo-interview-2024-12 2024-12-05T17:57:25Z
